day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.4218092965609787E11,-3.3475191084301098E10,8334994.892882561
2,-1.4934935688687735E11,-3.833031630537976E10,8391531.66682776
3,-1.5647496482755707E11,-4.3174354179852486E10,8447571.44408088
4,-1.6356218659763025E11,-4.8007832594730675E10,8503177.555423861
5,-1.70614885128683E11,-5.283120512850035E10,8558405.132256884
6,-1.7763636862327576E11,-5.764492399390028E10,8613300.618496351
7,-1.8462949675997086E11,-6.244944181227785E10,8667902.94638996
8,-1.9159675810010626E11,-6.724520269584328E10,8722244.961918205
9,-1.9854033093700067E11,-7.20326360824627E10,8776354.570573483
10,-2.054621321881238E11,-7.681215306421071E10,8830255.639047658
11,-2.1236385711413007E11,-8.158414446103456E10,8883968.70740655
12,-2.192470118540957E11,-8.634898006071681E10,8937511.5556987
13,-2.2611294026929556E11,-9.110700862077144E10,8990899.658285866
14,-2.3296284623793854E11,-9.585855835598178E10,9044146.550936408
15,-2.397978122860956E11,-1.0060393772414088E11,9097264.129600143
16,-2.46618815247143E11,-1.0534343638341774E11,9150262.895260405
17,-2.5342673949549875E11,-1.100773262363873E11,9203152.155904118
18,-2.6022238818803217E11,-1.1480586250424568E11,9255940.194144513
19,-2.6700649285960376E11,-1.1952928479425223E11,9308634.407144649
20,-2.7377972165147192E11,-1.2424781813682007E11,9361241.424058516
21,-2.8054268639817316E11,-1.2896167397783612E11,9413767.205112096
22,-2.872959487565304E11,-1.3367105111803554E11,9466217.125603762
23,-2.940400255271079E11,-1.3837613659548352E11,9518596.047449352
24,-3.0077539329178986E11,-1.4307710651004532E11,9570908.380386446
25,-3.0750249246974347E11,-1.4777412679058304E11,9623158.134550655
26,-3.142217308767228E11,-1.5246735390680127E11,9675348.965819038
27,-3.209334868586111E11,-1.5715693552838248E11,9727484.215062855
28,-3.276381120586263E11,-1.6184301113445163E11,9779566.942249494
29,-3.3433593386820087E11,-1.6652571257659006E11,9831599.956170531
30,-3.410272576037962E11,-1.7120516459865335E11,9883585.840441195
31,-3.4771236844549274E11,-1.7588148531658575E11,9935526.97630938
32,-3.543915331678688E11,-1.8055478666130145E11,9987425.562724946
33,-3.6106500168923157E11,-1.85225174787543E11,1.0039283634048305E7
34,-3.677330084615406E11,-1.8989275045144864E11,1.0091103075718133E7
35,-3.743957737202319E11,-1.945576093593728E11,1.0142885638149196E7
36,-3.810535046105121E11,-1.9921984249031592E11,1.0194632949090647E7
37,-3.8770639620445496E11,-2.038795363941376E11,1.0246346524641234E7
38,-3.9435463242133527E11,-2.0853677346755118E11,1.0298027779089594E7
39,-4.009983868620181E11,-2.131916322097328E11,1.0349678033723932E7
40,-4.076378235668394E11,-2.1784418745922342E11,1.0401298524735386E7
41,-4.1427309770522955E11,-2.2249451061365884E11,1.045289041032242E7
42,-4.2090435620431433E11,-2.2714266983372995E11,1.0504454777089186E7
43,-4.2753173832285016E11,-2.3178873023265436E11,1.0555992645818606E7
44,-4.3415537617609204E11,-2.3643275405232855E11,1.0607504976690479E7
45,-4.4077539521653766E11,-2.4107480082722806E11,1.0658992674006002E7
46,-4.473919146749185E11,-2.4571492753702982E11,1.0710456590472413E7
47,-4.5400504796531525E11,-2.5035318874884686E11,1.0761897531094883E7
48,-4.606149030578385E11,-2.549896367498878E11,1.0813316256717093E7
49,-4.6722158282194E11,-2.5962432167128357E11,1.0864713487246996E7
50,-4.7382518534308527E11,-2.642572916037606E11,1.0916089904599972E7
51,-4.8042580421522864E11,-2.6888859270578098E11,1.09674461553879E7
52,-4.8702352881127405E11,-2.735182693047182E11,1.101878285337938E7
53,-4.9361844453347906E11,-2.781463639915885E11,1.1070100581753537E7
54,-5.0021063304556E11,-2.827729177098151E11,1.1121399895167347E7
55,-5.068001724880785E11,-2.873979698384624E11,1.1172681321654232E7
56,-5.133871376785336E11,-2.920215582703413E11,1.1223945364369791E7
57,-5.1997160029744385E11,-2.966437194853546E11,1.1275192503198806E7
58,-5.2655362906157916E11,-3.012644886194208E11,1.1326423196236234E7
59,-5.331332898853935E11,-3.058838995292873E11,1.1377637881153528E7
60,-5.397106460316084E11,-3.105019848535212E11,1.1428836976460505E7
61,-5.4628575825181146E11,-3.151187760699396E11,1.148002088267196E7
62,-5.52858684917853E11,-3.197343035497245E11,1.1531189983387263E7
63,-5.594294821447546E11,-3.2434859660844586E11,1.158234464629044E7
64,-5.659982039057786E11,-3.2896168355420013E11,1.1633485224077446E7
65,-5.725649021402512E11,-3.335735917330561E11,1.1684612055316746E7
66,-5.791296268546807E11,-3.381843475719844E11,1.1735725465248713E7
67,-5.856924262176626E11,-3.42793976619435E11,1.178682576652887E7
68,-5.922533466490277E11,-3.474025035837139E11,1.18379132599195E7
69,-5.988124329036439E11,-3.520099523692996E11,1.1888988234933773E7
70,-6.053697281502543E11,-3.566163461112293E11,1.1940050970436156E7
71,-6.119252740456987E11,-3.612217072076761E11,1.1991101735202527E7
72,-6.184791108048411E11,-3.658260573508291E11,1.2042140788443126E7
73,-6.250312772664949E11,-3.7042941755618066E11,1.2093168380291201E7
74,-6.31581810955622E11,-3.7503180819031757E11,1.2144184752259959E7
75,-6.381307481420511E11,-3.796332489973067E11,1.2195190137670206E7
76,-6.446781238959503E11,-3.842337591237585E11,1.2246184762050876E7
77,-6.51223972140264E11,-3.8883335714264703E11,1.2297168843514454E7
78,-6.57768325700314E11,-3.934320610759592E11,1.2348142593109112E7
79,-6.643112163507444E11,-3.980298884162412E11,1.2399106215149289E7
80,-6.708526748599822E11,-4.0262685614710547E11,1.2450059907526223E7
81,-6.773927310323661E11,-4.0722298076275793E11,1.2501003861999895E7
82,-6.839314137480924E11,-4.118182782866003E11,1.2551938264473695E7
83,-6.904687510011102E11,-4.164127642889596E11,1.2602863295253E7
84,-6.970047699350914E11,-4.210064539039935E11,1.2653779129288813E7
85,-7.035394968775924E11,-4.2559936184581635E11,1.2704685936407467E7
86,-7.100729573725149E11,-4.3019150242388873E11,1.2755583881527355E7
87,-7.166051762109667E11,-4.347828895577106E11,1.2806473124863556E7
88,-7.231361774606167E11,-4.393735367908547E11,1.2857353822121182E7
89,-7.296659844936304E11,-4.4396345730437616E11,1.2908226124678187E7
90,-7.361946200132686E11,-4.4855266392963043E11,1.2959090179758321E7
91,-7.427221060792251E11,-4.5314116916053076E11,1.3009946130594902E7
92,-7.492484641317742E11,-4.577289851652746E11,1.3060794116585955E7
93,-7.557737150147944E11,-4.623161237975654E11,1.3111634273441328E7
94,-7.622978789977317E11,-4.6690259660735675E11,1.3162466733322237E7
95,-7.688209757965586E11,-4.714884148511416E11,1.3213291624973759E7
96,-7.753430245937859E11,-4.7607358950181067E11,1.3264109073850686E7
97,-7.818640440575757E11,-4.8065813125810065E11,1.3314919202237172E7
98,-7.883840523600057E11,-4.852420505536526E11,1.3365722129360529E7
99,-7.949030671945288E11,-4.8982535756570013E11,1.3416517971499542E7
100,-8.014211057926698E11,-4.9440806222340454E11,1.3467306842087634E7
101,-8.079381849399998E11,-4.989901742158546E11,1.351808885181117E7
102,-8.144543209914246E11,-5.0357170299974677E11,1.3568864108703211E7
103,-8.209695298858235E11,-5.081526578067607E11,1.3619632718232945E7
104,-8.274838271600695E11,-5.1273304765064526E11,1.3670394783391092E7
105,-8.339972279624633E11,-5.1731288133402747E11,1.3721150404771479E7
106,-8.405097470656108E11,-5.218921674549581E11,1.3771899680649005E7
107,-8.470213988787699E11,-5.264709144132057E11,1.3822642707054205E7
108,-8.535321974596936E11,-5.310491304163102E11,1.387337957784461E7
109,-8.600421565259944E11,-5.35626823485408E11,1.3924110384773053E7
110,-8.66551289466052E11,-5.402040014608378E11,1.3974835217553107E7
111,-8.73059609349487E11,-5.4478067200753723E11,1.4025554163921805E7
112,-8.795671289372203E11,-5.4935684262023987E11,1.4076267309699778E7
113,-8.860738606911388E11,-5.539325206284816E11,1.4126974738848954E7
114,-8.925798167833849E11,-5.585077132014233E11,1.4177676533527948E7
115,-8.990850091052877E11,-5.630824273525006E11,1.4228372774145242E7
116,-9.055894492759523E11,-5.676566699439042E11,1.4279063539410295E7
117,-9.120931486505225E11,-5.722304476909019E11,1.4329748906382663E7
118,-9.18596118328132E11,-5.768037671660067E11,1.4380428950519245E7
119,-9.250983691595583E11,-5.813766348029985E11,1.443110374571973E7
120,-9.315999117545925E11,-5.859490569008046E11,1.4481773364370354E7
121,-9.381007564891362E11,-5.905210396272456E11,1.4532437877386015E7
122,-9.4460091351204E11,-5.950925890226532E11,1.4583097354250878E7
123,-9.511003927516931E11,-5.996637110033623E11,1.4633751863057472E7
124,-9.575992039223751E11,-6.042344113650856E11,1.4684401470544407E7
125,-9.640973565303805E11,-6.088046957861737E11,1.4735046242132748E7
126,-9.705948598799254E11,-6.133745698307662E11,1.4785686241961103E7
127,-9.77091723078846E11,-6.179440389518369E11,1.4836321532919504E7
128,-9.835879550440968E11,-6.225131084941388E11,1.4886952176682109E7
129,-9.900835645070581E11,-6.270817836970525E11,1.4937578233738802E7
130,-9.965785600186595E11,-6.316500696973405E11,1.4988199763425712E7
131,-1.0030729499543282E12,-6.362179715318127E11,1.503881682395472E7
132,-1.0095667425187678E12,-6.407854941399065E11,1.5089429472441997E7
133,-1.0160599457505759E12,-6.453526423661821E11,1.514003776493559E7
134,-1.0225525675267065E12,-6.499194209627411E11,1.519064175644212E7
135,-1.0290446155667831E12,-6.544858345915662E11,1.5241241500952622E7
136,-1.0355360974372683E12,-6.590518878267885E11,1.5291837051467553E7
137,-1.0420270205554973E12,-6.636175851568838E11,1.5342428460021019E7
138,-1.0485173921935776E12,-6.681829309868003E11,1.5393015777704233E7
139,-1.0550072194821633E12,-6.727479296400209E11,1.5443599054688249E7
140,-1.0614965094141067E12,-6.77312585360562E11,1.5494178340245992E7
141,-1.0679852688479928E12,-6.818769023149117E11,1.5544753682773618E7
142,-1.0744735045115613E12,-6.864408845939089E11,1.5595325129811222E7
143,-1.0809612230050197E12,-6.910045362145659E11,1.5645892728062924E7
144,-1.0874484308042526E12,-6.955678611218363E11,1.569645652341636E7
145,-1.0939351342639298E12,-7.001308631903307E11,1.5747016560961595E7
146,-1.1004213396205188E12,-7.046935462259808E11,1.5797572885009464E7
147,-1.1069070529952031E12,-7.092559139676556E11,1.5848125539109405E7
148,-1.1133922803967114E12,-7.138179700887295E11,1.589867456606676E7
149,-1.1198770277240605E12,-7.183797181986046E11,1.5949220007959574E7
150,-1.126361300769215E12,-7.229411618441903E11,1.599976190615493E7
151,-1.1328451052196665E12,-7.27502304511339E11,1.6050300301324809E7
152,-1.1393284466609353E12,-7.320631496262413E11,1.6100835233461507E7
153,-1.1458113305789985E12,-7.366237005567819E11,1.6151366741892625E7
154,-1.1522937623626453E12,-7.41183960613856E11,1.6201894865295637E7
155,-1.158775747305763E12,-7.457439330526504E11,1.6252419641712064E7
156,-1.1652572906095564E12,-7.503036210738877E11,1.6302941108561251E7
157,-1.1717383973847031E12,-7.548630278250358E11,1.635345930265378E7
158,-1.1782190726534453E12,-7.594221564014847E11,1.6403974260204509E7
159,-1.184699321351622E12,-7.639810098476906E11,1.6454486016845271E7
160,-1.1911791483306436E12,-7.685395911582883E11,1.6504994607637227E7
161,-1.1976585583594092E12,-7.730979032791744E11,1.6555500067082895E7
162,-1.2041375561261711E12,-7.776559491085604E11,1.6606002429137865E7
163,-1.2106161462403457E12,-7.822137314979973E11,1.6656501727222199E7
164,-1.2170943332342742E12,-7.867712532533737E11,1.6706997994231539E7
165,-1.2235721215649348E12,-7.913285171358866E11,1.6757491262547934E7
166,-1.2300495156156064E12,-7.958855258629869E11,1.680798156405038E7
167,-1.2365265196974885E12,-8.004422821092999E11,1.6858468930125084E7
168,-1.2430031380512744E12,-8.049987885075212E11,1.6908953391675487E7
169,-1.2494793748486838E12,-8.095550476492904E11,1.695943497913202E7
170,-1.2559552341939524E12,-8.141110620860409E11,1.7009913722461615E7
171,-1.2624307201252825E12,-8.186668343298289E11,1.7060389651176985E7
172,-1.2689058366162542E12,-8.232223668541401E11,1.711086279434567E7
173,-1.2753805875771992E12,-8.27777662094677E11,1.7161333180598855E7
174,-1.2818549768565383E12,-8.323327224501249E11,1.7211800838139977E7
175,-1.2883290082420837E12,-8.368875502828995E11,1.7262265794753123E7
176,-1.2948026854623071E12,-8.414421479198756E11,1.7312728077811226E7
177,-1.3012760121875747E12,-8.459965176530972E11,1.7363187714284047E7
178,-1.3077489920313503E12,-8.5055066174047E11,1.741364473074599E7
179,-1.314221628551368E12,-8.551045824064374E11,1.7464099153383713E7
180,-1.320693925250773E12,-8.596582818426387E11,1.751455100800356E7
181,-1.3271658855792358E12,-8.642117622085524E11,1.756500032003882E7
182,-1.3336375129340366E12,-8.687650256321228E11,1.7615447114556827E7
183,-1.3401088106611213E12,-8.733180742103722E11,1.7665891416265864E7
184,-1.346579782056134E12,-8.778709100099976E11,1.7716333249521933E7
185,-1.3530504303654204E12,-8.824235350679535E11,1.7766772638335366E7
186,-1.3595207587870088E12,-8.869759513920206E11,1.7817209606377263E7
187,-1.3659907704715652E12,-8.915281609613613E11,1.7867644176985804E7
188,-1.3724604685233254E12,-8.960801657270614E11,1.7918076373172402E7
189,-1.378929856001005E12,-9.006319676126593E11,1.796850621762773E7
190,-1.385398935918685E12,-9.051835685146632E11,1.8018933732727583E7
191,-1.3918677112466792E12,-9.097349703030557E11,1.8069358940538645E7
192,-1.3983361849123777E12,-9.142861748217866E11,1.8119781862824086E7
193,-1.4048043598010713E12,-9.188371838892551E11,1.8170202521049064E7
194,-1.4112722387567568E12,-9.233879992987797E11,1.8220620936386082E7
195,-1.4177398245829219E12,-9.27938622819058E11,1.827103712972024E7
196,-1.4242071200433123E12,-9.324890561946165E11,1.832145112165435E7
197,-1.4306741278626804E12,-9.37039301146249E11,1.8371862932513945E7
198,-1.437140850727517E12,-9.415893593714462E11,1.8422272582352184E7
199,-1.443607291286765E12,-9.461392325448146E11,1.847268009095464E7
200,-1.4500734521525164E12,-9.506889223184869E11,1.8523085477843966E7
201,-1.456539335900695E12,-9.55238430322523E11,1.857348876228449E7
202,-1.4630049450717214E12,-9.597877581653014E11,1.8623889963286683E7
203,-1.469470282171163E12,-9.643369074339032E11,1.867428909961152E7
204,-1.4759353496703708E12,-9.688858796944866E11,1.872468618977478E7
205,-1.4824001500070994E12,-9.734346764926534E11,1.877508125205122E7
206,-1.4888646855861145E12,-9.779832993538082E11,1.8825474304478668E7
207,-1.4953289587797866E12,-9.825317497835085E11,1.8875865364862032E7
208,-1.5017929719286711E12,-9.870800292678087E11,1.8926254450777225E7
209,-1.5082567273420754E12,-9.916281392735953E11,1.8976641579574987E7
210,-1.5147202272986133E12,-9.961760812489163E11,1.902702676838465E7
211,-1.5211834740467476E12,-1.0007238566233018E12,1.9077410034117803E7
212,-1.5276464698053206E12,-1.0052714668080798E12,1.9127791393471897E7
213,-1.5341092167640725E12,-1.0098189131966841E12,1.917817086293377E7
214,-1.5405717170841492E12,-1.0143661971649554E12,1.9228548458783086E7
215,-1.5470339728985986E12,-1.0189133200714373E12,1.9278924197095722E7
216,-1.5534959863128567E12,-1.0234602832576646E12,1.9329298093747083E7
217,-1.559957759405222E12,-1.0280070880484474E12,1.937967016441533E7
218,-1.5664192942273208E12,-1.0325537357521477E12,1.943004042458457E7
219,-1.5728805928045632E12,-1.0371002276609509E12,1.9480408889547974E7
220,-1.5793416571365876E12,-1.0416465650511321E12,1.9530775574410807E7
221,-1.585802489197697E12,-1.0461927491833159E12,1.958114049409345E7
